flag,component,datasheet,galopago_en,galopago_es,hackster,instructables,hackaday
n,3 pc step drill bit 3-20 mm + centerpunch,https://github.com/galopago/logistic/blob/master/datasheet/3_pc_set_3-20mm_drill_bit_incremental_center_punch.pdf,https://s.click.aliexpress.com/e/_9vxJV5,https://s.click.aliexpress.com/e/_AalUrz,https://s.click.aliexpress.com/e/_9f30nD,https://s.click.aliexpress.com/e/_Am9KyF,https://s.click.aliexpress.com/e/_9y5Y2f
n,8 Step drill bit 10-45 mm,https://github.com/galopago/logistic/blob/master/datasheet/8_steps_10-45mm_incremental_drill_bit.pdf,https://s.click.aliexpress.com/e/_9Ior51,https://s.click.aliexpress.com/e/_ATtnjt,https://s.click.aliexpress.com/e/_A9VXRz,https://s.click.aliexpress.com/e/_AYCknp,https://s.click.aliexpress.com/e/_9ICIwP
n,115x90x55 mm enclosure box,https://github.com/galopago/logistic/blob/master/datasheet/KH-F3.pdf,https://s.click.aliexpress.com/e/_AFnqxL,https://s.click.aliexpress.com/e/_9y9UWZ,https://s.click.aliexpress.com/e/_Akw9lL,https://s.click.aliexpress.com/e/_AWz66Z,https://s.click.aliexpress.com/e/_AXsL1x
n,158x90x60 mm enclosure box,https://github.com/galopago/logistic/blob/master/datasheet/KH-F2.pdf,https://s.click.aliexpress.com/e/_AZ3Ypf,https://s.click.aliexpress.com/e/_AD0tGt,https://s.click.aliexpress.com/e/_A4uPDx,https://s.click.aliexpress.com/e/_AZyolb,https://s.click.aliexpress.com/e/_ArCUSt
n,168x120x61 mm enclosure box,https://github.com/galopago/logistic/blob/master/datasheet/AK10011-A1.pdf,https://s.click.aliexpress.com/e/_AA99xn,https://s.click.aliexpress.com/e/_98YRKl,https://s.click.aliexpress.com/e/_ACmpbJ,https://s.click.aliexpress.com/e/_ABT1az,https://s.click.aliexpress.com/e/_9HvJyv
n,RJ45 PCB female connector 8P8C latch up,https://github.com/galopago/logistic/blob/master/datasheet/MJEA-880X1XXX_RJ45_8P8C_PCB_FEMALE_RA.pdf,https://s.click.aliexpress.com/e/_AOwhq9,https://s.click.aliexpress.com/e/_A8NyPF,https://s.click.aliexpress.com/e/_9QDpZL,https://s.click.aliexpress.com/e/_AYHO7x,https://s.click.aliexpress.com/e/_Aa3d8p
n,RJ45 Panel mount waterproof connector,https://github.com/galopago/logistic/blob/master/datasheet/RJ45_Panel_mount_waterproof_connector.pdf,https://s.click.aliexpress.com/e/_AVK53B,https://s.click.aliexpress.com/e/_ASpY1R,https://s.click.aliexpress.com/e/_AAJ569,https://s.click.aliexpress.com/e/_AXFiPT,https://s.click.aliexpress.com/e/_AcBUlX
n,PoE Splitter D1398 module 5V 2A output,https://github.com/galopago/logistic/blob/master/datasheet/WC-PD13C050I.pdf,https://s.click.aliexpress.com/e/_A7HhEz,https://s.click.aliexpress.com/e/_Al2dql,https://s.click.aliexpress.com/e/_A7D3Xn,https://s.click.aliexpress.com/e/_AsKfwl,https://s.click.aliexpress.com/e/_99V5Lf
n,Raspberry Pi Pico,https://github.com/galopago/logistic/blob/master/datasheet/pico-datasheet.pdf,,,,,
n,2xAA battery holder for PCB,https://github.com/galopago/logistic/blob/master/datasheet/Comfortable_Catalog.pdf,,,,,
n,8 Ohm speaker 29 mm 0.25W,https://github.com/galopago/logistic/blob/master/datasheet/DXP29W-A.pdf,,,,,
n,MOSFET 27000,https://github.com/galopago/logistic/blob/master/datasheet/NDS7002A-D.pdf,,,,,
n,NPN BIPOLAR TRANSISTOR 2N2222A ,https://github.com/galopago/logistic/blob/master/datasheet/P2N2222A-D.pdf,,,,,
n,Light sensor (innocuous photoresistor?) 5800B PT523C-EE1 QT523C-EE1 ,https://github.com/galopago/logistic/blob/master/datasheet/PT523C-EE1.pdf,,,,,
n,TH Radial Electrolytic Capacitor,https://github.com/galopago/logistic/blob/master/datasheet/TS13DE-CD110X.pdf,,,,,
n,TH Ceramic Disc Capacitor,https://github.com/galopago/logistic/blob/master/datasheet/TS15.pdf,,,,,
n,Quartz clock movement with trigger,https://github.com/galopago/logistic/blob/master/datasheet/12888SE_TRIGGER_CLOCK_MOVEMENT.pdf,,,,,
n,Wall Clock hooks DIY,https://github.com/galopago/logistic/blob/master/datasheet/wall_clock_hook.pdf,,,,,
